Fecha,Indice general,Alimentos y bebidad,Vivienda,Educación,Transporte
01/12/1992,12.816553000000,9.763163000000,18.165261000000,9.572948000000,11.080509000000
01/01/1993,12.977320000000,9.846233000000,18.344591000000,9.665142000000,11.223646000000
01/02/1993,13.083345000000,9.961723000000,18.527372000000,9.699670000000,11.404220000000
01/03/1993,13.159594000000,10.068509000000,18.675513000000,9.721323000000,11.549404000000
01/04/1993,13.235480000000,10.148691000000,18.802278000000,9.812911000000,11.734814000000
01/05/1993,13.311137000000,10.197169000000,18.910714000000,9.914270000000,11.803788000000
01/06/1993,13.385797000000,10.215238000000,19.012687000000,9.962267000000,11.866960000000
01/07/1993,13.450123000000,10.242788000000,19.126559000000,9.989188000000,11.891129000000
01/08/1993,13.522112000000,10.293547000000,19.220121000000,10.040637000000,11.905499000000
01/09/1993,13.622261000000,10.310574000000,19.301109000000,11.574141000000,11.917927000000
01/10/1993,13.677973000000,10.336887000000,19.399747000000,11.585625000000,11.945676000000
01/11/1993,13.738302000000,10.328072000000,19.489504000000,11.590180000000,12.047080000000
01/12/1993,13.843055000000,10.332655000000,19.623319000000,11.590180000000,12.151686000000
01/01/1994,13.950375000000,10.433765000000,19.791342000000,11.656094000000,12.303100000000
01/02/1994,14.022124000000,10.516245000000,19.966442000000,11.700051000000,12.475438000000
01/03/1994,14.094225000000,10.646047000000,20.084536000000,11.705806000000,12.633373000000
01/04/1994,14.163251000000,10.735379000000,20.192615000000,11.732609000000,12.701307000000
01/05/1994,14.231682000000,10.806771000000,20.301804000000,11.786103000000,12.706968000000
01/06/1994,14.302895000000,10.853163000000,20.409291000000,11.840059000000,12.719677000000
01/07/1994,14.366327000000,10.887524000000,20.506549000000,11.845407000000,12.727583000000
01/08/1994,14.433287000000,10.948774000000,20.594656000000,11.934905000000,12.732022000000
01/09/1994,14.535937000000,11.070557000000,20.675944000000,13.288587000000,12.737019000000
01/10/1994,14.612245000000,11.158415000000,20.758447000000,13.287692000000,12.758750000000
01/11/1994,14.690361000000,11.222284000000,20.834776000000,13.293707000000,12.769211000000
01/12/1994,14.819204000000,11.310181000000,20.972894000000,13.293707000000,12.810286000000
01/01/1995,15.376991000000,11.784140000000,21.523160000000,13.345820000000,13.076073000000
01/02/1995,16.028707000000,12.431819000000,22.351294000000,13.395844000000,13.530050000000
01/03/1995,16.973617000000,13.121405000000,23.170273000000,13.412039000000,15.896544000000
01/04/1995,18.326133000000,14.188945000000,24.679415000000,13.458176000000,17.176942000000
01/05/1995,19.092090000000,15.122419000000,25.723213000000,13.516736000000,17.339219000000
01/06/1995,19.698024000000,15.817669000000,26.525815000000,13.654793000000,17.464548000000
01/07/1995,20.099588000000,16.282663000000,27.068490000000,13.750772000000,17.524400000000
01/08/1995,20.432981000000,16.634068000000,27.487914000000,14.004128000000,17.569515000000
01/09/1995,20.855643000000,17.042884000000,27.852441000000,15.830102000000,17.716749000000
01/10/1995,21.284762000000,17.414007000000,28.220314000000,15.833882000000,17.847777000000
01/11/1995,21.809608000000,17.929428000000,28.617262000000,15.833882000000,17.932779000000
01/12/1995,22.520167000000,18.550914000000,29.441075000000,15.854072000000,18.682930000000
01/01/1996,23.329754000000,19.272822000000,30.274343000000,16.201220000000,20.110082000000
01/02/1996,23.874262000000,19.827295000000,30.930740000000,16.275401000000,20.577592000000
01/03/1996,24.399826000000,20.394815000000,31.498632000000,16.303718000000,20.973340000000
01/04/1996,25.093450000000,21.245758000000,32.254330000000,16.353522000000,21.210191000000
01/05/1996,25.550842000000,21.634253000000,32.809118000000,16.395853000000,21.346185000000
01/06/1996,25.966902000000,22.007917000000,33.236421000000,16.445229000000,21.471486000000
01/07/1996,26.336031000000,22.304365000000,33.771645000000,16.511060000000,21.657967000000
01/08/1996,26.686072000000,22.552754000000,34.190629000000,16.735109000000,21.844580000000
01/09/1996,27.112751000000,22.839425000000,34.552154000000,19.092663000000,22.005677000000
01/10/1996,27.451168000000,23.094458000000,34.870197000000,19.093656000000,22.090335000000
01/11/1996,27.867083000000,23.372426000000,35.202737000000,19.093656000000,22.239426000000
01/12/1996,28.759336000000,23.801094000000,36.106044000000,19.108025000000,25.753321000000
01/01/1997,29.498886000000,24.699202000000,36.905276000000,19.314230000000,26.439019000000
01/02/1997,29.994598000000,25.084547000000,37.536686000000,19.569924000000,27.169819000000
01/03/1997,30.367889000000,25.322874000000,37.986132000000,19.593341000000,27.879464000000
01/04/1997,30.695972000000,25.643056000000,38.362210000000,19.671906000000,28.420208000000
01/05/1997,30.976119000000,25.911873000000,38.789730000000,19.734552000000,28.540923000000
01/06/1997,31.250957000000,26.125379000000,39.186526000000,19.773342000000,28.600939000000
01/07/1997,31.523211000000,26.195142000000,39.555761000000,19.849299000000,28.649994000000
01/08/1997,31.803502000000,26.249898000000,39.884889000000,20.139596000000,28.690269000000
01/09/1997,32.199613000000,26.590113000000,40.225734000000,22.748874000000,28.697272000000
01/10/1997,32.456941000000,26.852780000000,40.562918000000,22.754373000000,28.733914000000
01/11/1997,32.820042000000,27.098250000000,41.064415000000,22.755418000000,28.756185000000
01/12/1997,33.279875000000,27.237591000000,41.728928000000,22.755418000000,28.943610000000
01/01/1998,34.003924000000,27.927511000000,42.573207000000,23.074720000000,30.359272000000
01/02/1998,34.599238000000,28.720380000000,43.264568000000,23.277051000000,31.036054000000
01/03/1998,35.004533000000,29.010587000000,43.782238000000,23.298395000000,31.520532000000
01/04/1998,35.332042000000,29.336706000000,44.283211000000,23.319307000000,31.703024000000
01/05/1998,35.613481000000,29.614523000000,44.743975000000,23.424402000000,31.760479000000
01/06/1998,36.034420000000,30.253037000000,45.160710000000,23.459077000000,31.946567000000
01/07/1998,36.381878000000,30.397439000000,45.549103000000,23.519032000000,32.097511000000
01/08/1998,36.731632000000,30.647534000000,45.962113000000,23.755608000000,32.359533000000
01/09/1998,37.327376000000,31.377023000000,46.568460000000,26.765637000000,32.556652000000
01/10/1998,37.862269000000,32.086458000000,47.157540000000,26.771222000000,32.632932000000
01/11/1998,38.532786000000,32.382673000000,47.624283000000,26.775296000000,32.710806000000
01/12/1998,39.472974000000,32.778527000000,48.402629000000,26.785404000000,34.948109000000
01/01/1999,40.469770000000,34.232965000000,49.189065000000,26.938809000000,35.948897000000
01/02/1999,41.013643000000,34.811214000000,49.835522000000,27.226174000000,36.612185000000
01/03/1999,41.394684000000,35.141567000000,50.584444000000,27.300234000000,36.972907000000
01/04/1999,41.774577000000,35.464119000000,51.054179000000,27.410289000000,37.274956000000
01/05/1999,42.025877000000,35.721645000000,51.553847000000,27.488537000000,37.589090000000
01/06/1999,42.302006000000,35.940367000000,52.047760000000,27.570276000000,37.682907000000
01/07/1999,42.581580000000,36.086848000000,52.437634000000,27.609779000000,37.748269000000
01/08/1999,42.821255000000,36.317313000000,52.821359000000,27.960030000000,37.803906000000
01/09/1999,43.235018000000,36.520095000000,53.192033000000,31.626882000000,37.911016000000
01/10/1999,43.508851000000,36.815136000000,53.526480000000,31.627991000000,37.975819000000
01/11/1999,43.895776000000,37.012805000000,53.801594000000,31.628134000000,38.309948000000
01/12/1999,44.335516000000,37.258370000000,54.192977000000,31.633447000000,38.389938000000
