date,oro,plata,petroleo,gas_natural,indice_oro,indice_plata,indice_petroleo,indice_gas_natural,indice_general_mx,alimentos_bebidas_mx,vivienda_mx,educacion_mx,transporte_mx,indice_general_es,alimentos_bebidas_es,vivienda_es,educacion_es,transporte_es,sui_h_es,sui_m_es,sui_es,sui_m_mx,sui_h_mx,sui_mx
2014-02-01,1321.4,21.2,102.59,4.61,106.50439268155074,127.94206397103198,222.82797567332756,151.64473684210526,84.73,82.77,90.18,83.84,84.56,93.33,90.47,95.08,94.72,95.06,244.83333333333334,81.0,325.8333333333333,102.58333333333333,415.3333333333333,528.0833333333334
2014-03-01,1283.4,19.73,101.58,4.37,103.44160554525672,119.07060953530477,220.63423110338837,143.75,84.97,82.86,90.35,83.85,84.44,93.54,89.86,95.12,94.72,95.06,244.83333333333334,81.0,325.8333333333333,102.58333333333333,415.3333333333333,528.0833333333334
2014-04-01,1295.6,19.12,99.74,4.82,104.42492141533005,115.38925769462884,216.63770634231102,158.55263157894737,84.81,83.11,90.49,83.88,84.59,94.37,89.77,95.09,94.74,95.47,244.83333333333334,81.0,325.8333333333333,102.58333333333333,415.3333333333333,528.0833333333334
2014-05-01,1245.6,18.65,102.71,4.54,100.39493834125896,112.55280627640312,223.08861859252823,149.3421052631579,84.54,83.5,90.65,83.95,84.92,94.4,89.47,95.14,94.73,95.56,244.83333333333334,81.0,325.8333333333333,102.58333333333333,415.3333333333333,528.0833333333334
2014-06-01,1263.4499999999998,19.509999999999998,100.44,4.1899999999999995,101.83364229870233,117.74290887145442,218.15812337098177,137.82894736842104,84.68,83.79,90.81,84.07,84.97,94.42,89.44,94.62,94.73,96.1,244.83333333333334,81.0,325.8333333333333,102.58333333333333,415.3333333333333,528.0833333333334
2014-07-01,1281.3,20.37,98.17,3.84,103.27234625614572,122.93301146650573,213.22762814943528,126.3157894736842,84.91,83.95,90.93,84.13,85.07,93.53,89.46,94.15,94.73,96.28,244.83333333333334,81.0,325.8333333333333,102.58333333333333,415.3333333333333,528.0833333333334
2014-08-01,1285.8,19.4,95.96,4.07,103.6350447328121,117.07905853952927,208.42745438748912,133.88157894736844,85.22,84.25,91.08,84.9,85.21,93.68,89.68,94.66,94.74,96.01,244.83333333333334,81.0,325.8333333333333,102.58333333333333,415.3333333333333,528.0833333333334
2014-09-01,1210.5,17.01,91.16,4.12,97.56589022326105,102.65540132770067,198.00173761946132,135.5263157894737,85.6,84.43,91.25,86.82,85.28,93.82,89.77,96.02,95.08,95.74,244.83333333333334,81.0,325.8333333333333,102.58333333333333,415.3333333333333,528.0833333333334
2014-10-01,1171.1,16.08,80.54,3.87,94.39026356089303,97.04284852142425,174.93483927019983,127.30263157894737,86.07,84.65,91.39,86.82,85.33,94.26,90.25,95.7,95.82,94.5,244.83333333333334,81.0,325.8333333333333,102.58333333333333,415.3333333333333,528.0833333333334
2014-11-01,1175.2,15.49,66.15,4.09,94.72072217296687,93.48219674109836,143.67940920938315,134.53947368421052,86.76,84.73,91.53,86.82,85.44,94.2,90.2,94.44,95.89,93.44,244.83333333333334,81.0,325.8333333333333,102.58333333333333,415.3333333333333,528.0833333333334
